date,ticker,price,decision,reason,sentiment,rsi,confidence
2026-01-02,DOT-USDT,2.166,hold,HIGH RISK - no new trades (vol=0.065),0.105,59.85,0.600
2026-01-02,ETH-USDT,3125.45,sell,"SELL_BB: BB=1.11 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-13.9, Sent:+5.5]",0.250,59.53,0.600
2026-01-02,LTC-USDT,81.93,sell,"SELL_BB: BB=1.08 [RSI_bias:-0.1, MACD_pos:+10.0, BB_high:-12.5, Sent:+3.3]",0.150,53.92,0.600
2026-01-02,SOL-USDT,132.29,sell,"SELL_BB: BB=1.08 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-12.4, Sent:+5.5]",0.250,57.00,0.600
2026-01-02,XRP-USDT,2.0069,sell,"SELL_BB: BB=1.11 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-13.9, Sent:+3.3]",0.150,56.29,0.400
2026-01-03,ADA-USDT,0.3893,hold,HIGH RISK - no new trades (vol=0.058),-0.070,51.80,0.400
2026-01-03,BNB-USDT,878.63,sell,"SELL_BB: BB=0.91 [RSI_bias:-0.1, MACD_pos:+10.0, BB_high:-4.8, Sent:+3.3]",0.150,54.06,0.600
2026-01-03,BTC-USDT,90628.01,sell,"SELL_BB: BB=1.08 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-12.4, Sent:+3.3]",0.150,56.36,0.600
2026-01-03,DOGE-USDT,0.14315,hold,HIGH RISK - no new trades (vol=0.057),0.000,59.51,0.600
2026-01-03,DOT-USDT,2.125,hold,HIGH RISK - no new trades (vol=0.058),0.105,57.43,0.600
2026-01-03,ETH-USDT,3127.11,sell,"SELL_BB: BB=1.05 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-11.3, Sent:+3.3]",0.150,59.64,0.600
2026-01-03,LTC-USDT,82.08,sell,"SELL_BB: BB=1.01 [RSI_bias:-0.1, MACD_pos:+10.0, BB_high:-9.5, Sent:+3.3]",0.150,54.23,0.600
2026-01-03,SOL-USDT,133.37,sell,"SELL_BB: BB=1.08 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-12.4, Sent:+3.3]",0.150,58.37,0.600
2026-01-03,XRP-USDT,2.0182,sell,"SELL_BB: BB=1.10 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-13.6, Sent:+3.3]",0.150,57.18,0.600
2026-01-04,ADA-USDT,0.4007,hold,HIGH RISK - no new trades (vol=0.059),0.000,54.68,0.600
2026-01-04,BNB-USDT,895.43,sell,"SELL_BB: BB=1.06 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-11.8, Sent:+3.3]",0.150,59.04,0.600
2026-01-04,BTC-USDT,91529.73,sell,"SELL_BB: BB=1.11 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-14.0, Sent:+3.3]",0.150,59.30,0.600
2026-01-04,DOGE-USDT,0.14953,hold,HIGH RISK - no new trades (vol=0.057),-0.105,63.76,0.800
2026-01-04,DOT-USDT,2.142,hold,HIGH RISK - no new trades (vol=0.055),0.105,58.19,0.600
2026-01-04,ETH-USDT,3144.7,sell,"SELL: score=-11.7 [RSI_bias:-0.3, MACD_pos:+10.0, BB_high:-9.5, Sent:+0.0, LLM_sell:-12.0]",0.000,60.81,0.800
2026-01-04,LTC-USDT,82.26,sell,"SELL_BB: BB=0.96 [RSI_bias:-0.1, MACD_pos:+10.0, BB_high:-7.0, Sent:+3.3]",0.150,54.63,0.600
2026-01-04,SOL-USDT,134.12,sell,"SELL_BB: BB=1.03 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-10.5, Sent:+3.3]",0.150,59.34,0.600
2026-01-04,XRP-USDT,2.0909,sell,"SELL: score=-17.4 [RSI_bias:-0.3, MACD_pos:+10.0, BB_high:-17.3, Sent:+2.2, LLM_sell:-12.0]",0.100,62.49,0.800
2026-01-05,ADA-USDT,0.4211,hold,HIGH RISK - no new trades (vol=0.054),0.070,59.36,0.600
2026-01-05,BNB-USDT,910.31,sell,"SELL: score=-17.1 [RSI_bias:-0.3, MACD_pos:+10.0, BB_high:-14.8, Sent:+0.0, LLM_sell:-12.0]",0.000,62.88,0.800
2026-01-05,BTC-USDT,93859.71,sell,"SELL: score=-19.1 [RSI_bias:-0.4, MACD_pos:+10.0, BB_high:-18.9, Sent:+2.2, LLM_sell:-12.0]",0.100,65.74,0.800
2026-01-05,DOGE-USDT,0.15171,hold,HIGH RISK - no new trades (vol=0.055),-0.105,65.11,0.800
2026-01-05,DOT-USDT,2.208,hold,HIGH RISK - no new trades (vol=0.052),0.070,61.07,0.800
2026-01-05,ETH-USDT,3224.99,sell,"SELL: score=-13.3 [RSI_bias:-0.4, MACD_pos:+10.0, BB_high:-13.2, Sent:+2.2, LLM_sell:-12.0]",0.100,65.71,0.800
2026-01-05,LTC-USDT,83.46,sell,"SELL_BB: BB=1.00 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-9.0, Sent:+3.3]",0.150,57.33,0.600
2026-01-05,SOL-USDT,137.9,sell,"SELL: score=-14.5 [RSI_bias:-0.3, MACD_pos:+10.0, BB_high:-14.3, Sent:+2.2, LLM_sell:-12.0]",0.100,63.89,0.800
2026-01-05,XRP-USDT,2.3478,sell,EMERGENCY: RSI=74.5 overbought,-0.100,74.52,0.800
2026-01-06,ADA-USDT,0.4194,hold,HIGH RISK - no new trades (vol=0.054),0.000,58.82,0.600
2026-01-06,BNB-USDT,917.64,sell,"SELL: score=-14.7 [RSI_bias:-0.4, MACD_pos:+10.0, BB_high:-12.4, Sent:+0.0, LLM_sell:-12.0]",0.000,64.64,0.800
2026-01-06,BTC-USDT,93747.97,sell,"SELL: score=-14.7 [RSI_bias:-0.4, MACD_pos:+10.0, BB_high:-12.3, Sent:+0.0, LLM_sell:-12.0]",0.000,65.20,0.800
2026-01-06,DOGE-USDT,0.15055,hold,HIGH RISK - no new trades (vol=0.056),-0.105,63.75,0.800
2026-01-06,DOT-USDT,2.235,hold,HIGH RISK - no new trades (vol=0.051),0.000,62.22,0.800
2026-01-06,ETH-USDT,3296.84,sell,"SELL: score=-17.0 [RSI_bias:-0.5, MACD_pos:+10.0, BB_high:-14.5, Sent:+0.0, LLM_sell:-12.0]",0.000,69.39,0.800
2026-01-06,LTC-USDT,83.96,sell,"SELL_BB: BB=0.97 [RSI_bias:-0.2, MACD_pos:+10.0, BB_high:-7.6, Sent:+3.3]",0.150,58.44,0.600
2026-01-06,SOL-USDT,141.08,sell,"SELL: score=-16.4 [RSI_bias:-0.4, MACD_pos:+10.0, BB_high:-14.0, Sent:+0.0, LLM_sell:-12.0]",0.000,67.22,0.800
2026-01-06,XRP-USDT,2.3042,hold,HIGH RISK - no new trades (vol=0.051),-0.140,70.39,0.800
2026-01-07,ADA-USDT,0.4022,hold,HIGH RISK - no new trades (vol=0.052),0.105,53.47,0.600
